movie_id,title,release_date,popularity,vote_average,vote_count,streaming_platforms,on_netflix,on_hulu,on_prime
1317672,Love Me Love Me,2026-02-12,172.599,5.922,103,"Amazon Prime Video, Amazon Prime Video with Ads",0,0,1
1242898,Predator: Badlands,2025-11-05,163.0384,7.723,2041,"Disney Plus, Hulu",0,1,0
1243460,Joe's College Road Trip,2026-02-12,66.1207,5.5,39,"Netflix, Netflix Standard with Ads",1,0,0
1426964,State of Fear,2026-02-10,168.581,4.806,31,"Netflix, Netflix Standard with Ads",1,0,0
1208348,Rental Family,2025-11-20,21.4637,7.839,388,Hulu,0,1,0
1054867,One Battle After Another,2025-09-23,37.087,7.419,2836,"HBO Max, HBO Max Amazon Channel",0,0,0
1168190,The Wrecking Crew,2026-01-28,191.5663,6.898,625,"Amazon Prime Video, Amazon Prime Video with Ads",0,0,1
701387,Bugonia,2025-10-23,23.1557,7.366,1432,"Peacock Premium, Peacock Premium Plus",0,0,0
1259102,Eternity,2025-11-26,22.9698,6.974,450,"Apple TV, Apple TV Amazon Channel",0,0,0
911430,F1,2025-06-25,35.6473,7.768,3370,"Apple TV, Apple TV Amazon Channel",0,0,0
1100988,28 Years Later,2025-06-18,25.9555,6.6,2224,Netflix,1,0,0
1339173,Honey Bunch,2026-01-23,6.7187,7.2,10,"AMC Plus Apple TV Channel , AMC+ Amazon Channel, Philo, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel",0,0,0
1548113,The Muppet Show,2026-02-03,15.0183,7.1,70,Disney Plus,0,0,0
1233413,Sinners,2025-04-16,39.5524,7.492,3724,"Amazon Prime Video, HBO Max, HBO Max Amazon Channel, Amazon Prime Video with Ads",0,0,1
1371185,Song Sung Blue,2025-12-25,15.8748,7.462,143,"Peacock Premium, Peacock Premium Plus",0,0,0
1600028,A Father's Miracle,2025-12-25,75.3649,7.306,18,"Netflix, Netflix Standard with Ads",1,0,0
1306368,The Rip,2026-01-13,82.2686,7.063,1202,"Netflix, Netflix Standard with Ads",1,0,0
1061474,Superman,2025-07-09,31.9659,7.4,4332,"HBO Max, HBO Max Amazon Channel",0,0,0
1575337,Cosmic Princess Kaguya!,2026-01-22,17.7822,8.29,50,"Netflix, Netflix Standard with Ads",1,0,0
1242419,Roofman,2025-10-08,17.8624,7.159,536,"fuboTV, MGM+ Amazon Channel, Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus, Philo, Paramount Plus Essential, Paramount Plus Premium",0,0,0
1570282,This Is I,2026-02-10,12.2381,7.273,11,"Netflix, Netflix Standard with Ads",1,0,0
533533,TRON: Ares,2025-10-08,31.2322,6.5,1187,Disney Plus,0,0,0
1062722,Frankenstein,2025-10-17,35.1883,7.679,2934,"Netflix, Netflix Standard with Ads",1,0,0
1160360,If I Had Legs I'd Kick You,2025-10-10,8.6982,6.512,170,"HBO Max, HBO Max Amazon Channel",0,0,0
1393382,Popeye's Revenge,2025-02-12,3.9139,4.8,60,"Amazon Prime Video, Peacock Premium, Amazon Prime Video with Ads, Peacock Premium Plus",0,0,1
575265,Mission: Impossible - The Final Reckoning,2025-05-17,44.2189,7.187,2562,"fuboTV, MGM+ Amazon Channel, Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus, Philo, Paramount Plus Essential, Paramount Plus Premium",0,0,0
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,58.6818,6.69,200,"Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, Paramount Plus Essential, Paramount Plus Premium",0,0,0
1034716,People We Meet on Vacation,2026-01-06,13.0567,7.021,458,"Netflix, Netflix Standard with Ads",1,0,0
1241983,Train Dreams,2025-11-05,11.8389,7.335,702,"Netflix, Netflix Standard with Ads",1,0,0
1291608,Dhurandhar,2025-12-05,23.0161,6.934,198,"Netflix, Netflix Standard with Ads",1,0,0
1035259,The Naked Gun,2025-07-30,22.8582,6.412,1445,"Amazon Prime Video, MGM+ Amazon Channel, Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus, Philo, Amazon Prime Video with Ads, Paramount Plus Essential, Paramount Plus Premium",0,0,1
1078605,Weapons,2025-08-04,17.0883,7.281,2919,"HBO Max, HBO Max Amazon Channel",0,0,0
1193128,I Was a Stranger,2025-12-31,14.4315,6.4,5,Angel Studios,0,0,0
541671,Ballerina,2025-06-04,23.8445,7.263,2338,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Philo, Starz Amazon Channel",0,0,0
1007734,Nobody 2,2025-08-13,16.5239,7.0,1260,"Peacock Premium, Peacock Premium Plus",0,0,0
1448560,Wildcat,2025-11-19,30.9994,6.263,116,"fuboTV, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus, Philo",0,0,0
1234821,Jurassic World Rebirth,2025-07-01,33.3878,6.31,2989,"Peacock Premium, Peacock Premium Plus",0,0,0
556574,Hamilton,2025-09-05,4.8611,7.7,73,Disney Plus,0,0,0
812583,Wake Up Dead Man: A Knives Out Mystery,2025-11-26,17.9606,7.213,2074,"Netflix, Netflix Standard with Ads",1,0,0
1364608,Anemone,2025-10-02,8.6394,6.2,93,"Peacock Premium, Peacock Premium Plus",0,0,0
574475,Final Destination Bloodlines,2025-05-14,18.8448,7.074,2636,"Amazon Prime Video, HBO Max, HBO Max Amazon Channel, Amazon Prime Video with Ads",0,0,1
1022787,Elio,2025-06-18,16.1479,6.945,848,Disney Plus,0,0,0
617126,The Fantastic 4: First Steps,2025-07-23,29.9501,6.978,2987,Disney Plus,0,0,0
1033148,Die My Love,2025-10-06,13.0434,6.17,395,"MUBI, MUBI Amazon Channel",0,0,0
1284120,The Ugly Stepsister,2025-03-07,17.5753,7.33,926,"Hulu, AMC Plus Apple TV Channel , AMC+ Amazon Channel, AMC+, Philo, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel",0,1,0
1436061,Fabian and the Deadly Wedding,2026-02-06,2.6477,6.3,15,"Amazon Prime Video, Amazon Prime Video with Ads",0,0,1
1230368,Springsteen: Deliver Me from Nowhere,2025-10-22,4.7912,6.771,231,Hulu,0,1,0
1299655,Blue Moon,2025-10-17,7.7518,6.69,179,Netflix,1,0,0
1433842,Relationship Goals,2026-02-04,15.1176,5.619,42,"Amazon Prime Video, Amazon Prime Video with Ads",0,0,1
402431,Wicked,2024-10-16,17.2168,6.921,2866,"Amazon Prime Video, Amazon Prime Video with Ads",0,0,1
1197137,Black Phone 2,2025-10-15,18.1554,6.763,916,"Peacock Premium, Peacock Premium Plus",0,0,0
1442908,The Singers,2025-03-08,13.0661,6.808,26,"Netflix, Netflix Standard with Ads",1,0,0
803796,KPop Demon Hunters,2025-06-20,45.7443,8.093,2396,"Netflix, Netflix Standard with Ads",1,0,0
